"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"aap-1",10.2339698768149,-0.256160867163553,0.637866055173366,-0.401590373223311,0.687985515838095,0.877907313083142
"aat-1",41.830361753432,-0.0291028652722202,0.592681565928647,-0.0491037125924782,0.960836644757596,0.98831094784763
"aat-2",35.208037731718,-0.414844924275432,0.556574388657833,-0.745353959379663,0.456057769007536,0.735235184046083
"aat-3",136.553910702722,-0.865639809747401,0.578410676866883,-1.49658338680118,0.134501695578115,0.376973058549819
"aat-4",17.5030711949455,0.904180894799845,0.607286968467807,1.48888571918661,0.136517464724101,0.380206201803769
"aat-5",2.56255536529231,0.582687365471025,1.34214731666193,0.43414560997688,0.66418270660894,0.867628886652709
"aat-6",21.8575239237792,0.262998106039122,0.776615088006073,0.338646660489637,0.734875927366176,0.903863048116502
"aat-7",4.0038050908361,0.81266544075867,1.14568749082086,0.709325577236087,0.478122459723883,0.750624289712312
"aat-8",1.53579820185782,-2.46853503451477,1.86097124836075,-1.32647671837445,0.184681841816331,NA
"aat-9",18.9125416883481,-0.309089051788725,0.485869363356308,-0.636156701985874,0.524674290996372,0.780399112930084
"abf-1",8.02035953258311,2.57566096259984,0.718419893717542,3.58517488884084,0.000336852396430688,0.00924000373642537
"abf-2",50.3541936398163,0.66280949150697,0.812873967056643,0.81539023067371,0.414848974578899,0.699045817834627
"abf-3",2.70891749111849,-1.42645156045057,1.62126559565211,-0.879838296868819,0.378946914890688,0.66936388577847
"abf-4",1.84289612529809,-1.22958290738948,1.80606296136171,-0.680808440068123,0.495992708857121,NA
"abf-5",5.31914346828862,-1.90840862985307,1.11041453677692,-1.71864521459922,0.085678993361586,0.287754383011638
"abf-6",5.59745738368989,0.228544073105032,0.910382771386905,0.251041737923995,0.801781839992973,0.932722447573475
"abl-1",140.013480544513,-1.63174315858591,0.600270216221895,-2.71834769490332,0.00656088534452717,0.0575892217562758
"abt-1",7.15163095185238,1.56430840942033,0.765168967752493,2.04439604237366,0.040914437973413,0.182660822842531
"abt-2",70.2329697114621,-0.00774225589075961,0.439975621943386,-0.0175970110720268,0.985960341127715,0.995931064041343
"abt-3",0.515042818168686,1.51201294538333,3.5768394153901,0.422723183735221,0.672497238630683,NA
"abt-4",24.1590693408826,-0.242508606135156,0.66928692508669,-0.362338777354338,0.717098883926628,0.894629046959082
"abt-5",13.8991163849926,0.63050105037569,0.753303596230541,0.836981335985461,0.402603059159611,0.689595321775037
"abu-1",0.720605253536785,0.811968389680929,2.77506276549221,0.292594603544727,0.769832039090866,NA
"abu-2",3.05501827052397,1.95813909201895,1.50995364051083,1.29682067017402,0.194692896869899,0.464874356183355
"abu-3",1.14782298847073,-1.00208003211723,2.04595737160257,-0.489785391438689,0.624285769146293,NA
"abu-4",0.771247550600577,-0.674978457086952,3.26083804442741,-0.206995394401894,0.836013455344105,NA
"abu-5",0.524220150079385,-1.3649681442573,4.10047656635092,-0.332880366994027,0.73922458996177,NA
"abu-6",0.180410672539834,0,6.09737844892076,0,1,NA
"abu-7",0.0347948928448057,0,6.0975439140757,0,1,NA
"abu-8",3.91933098506183,-1.89395512302773,1.34854048995274,-1.40444809565496,0.160185457482497,0.417616587719476
"abu-9",0.0885923272388845,-0.105066826802889,6.07275416354064,-0.017301346962748,0.98619621104399,NA
"abu-10",2.25194717002848,1.22658299338875,1.46869936828951,0.835149125731064,0.403633749795145,NA
"abu-11",1.73687157125119,0.159304018340317,1.29243300304702,0.123259014559938,0.901901994927965,NA
"ace-1",39.6756793701831,0.302931589840211,0.43079023924904,0.70319975301271,0.481931273143036,0.753235805297399
