"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"aap-1",10.2339698768149,-0.209361219625993,0.619067632485672,-0.338187959828183,0.735221548555,0.941324815800851
"aat-1",41.830361753432,-1.30688158171659,0.638146559330321,-2.04793328837822,0.0405665365657315,0.311024521959213
"aat-2",35.208037731718,-0.0487443548838349,0.57184414481909,-0.0852406295062369,0.93207009043018,0.986600765919845
"aat-3",136.553910702722,-0.204609979012436,0.587681663014356,-0.348164647443557,0.72771653603131,0.939185925014684
"aat-4",17.5030711949455,-0.200255876647936,0.651459270446404,-0.307395850719437,0.75854208605538,0.946106704838185
"aat-5",2.56255536529231,-0.348698667240334,1.48441181516258,-0.234906960237408,0.814280947228079,NA
"aat-6",21.8575239237792,-0.12747186482821,0.809675011528405,-0.157435839087567,0.874901370119001,0.975833203892789
"aat-7",4.0038050908361,0.97952534983417,1.20580522203356,0.812341273644699,0.416595833651643,NA
"aat-8",1.53579820185782,-1.8284538244034,1.89796623452689,-0.963375317822329,0.335359208171494,NA
"aat-9",18.9125416883481,0.119503320635629,0.486775313138928,0.24549996150179,0.80606933797734,0.959085890271344
"abf-1",8.02035953258311,1.41120179857129,0.785781502356711,1.79592137806607,0.0725070219478133,0.419565822372567
"abf-2",50.3541936398163,-0.487274540011233,0.855673696420321,-0.569463034857479,0.569041949685913,0.8869362826741
"abf-3",2.70891749111849,0.488951205059473,1.34438303068256,0.363699328167825,0.716082545092489,NA
"abf-4",1.84289612529809,-2.01685188487092,1.94024253576729,-1.03948441892773,0.298579500760495,NA
"abf-5",5.31914346828862,-0.644958600010427,1.04699502778103,-0.616009229172115,0.53788842858206,0.87253867607338
"abf-6",5.59745738368989,-0.211494328193553,0.938445310314724,-0.225366705836725,0.821694010320913,0.962242534179206
"abl-1",140.013480544513,-0.621436200615522,0.607397322742212,-1.02311317048605,0.306254340464292,0.745431322193662
"abt-1",7.15163095185238,1.35616860898823,0.806851689602164,1.6808152309341,0.0927988092834418,0.469579510875602
"abt-2",70.2329697114621,-0.116666059083355,0.451996442149418,-0.258112781880678,0.796319867223971,0.957408412139423
"abt-3",0.515042818168686,1.62048222733824,3.68723301667061,0.439484627093477,0.660310418643667,NA
"abt-4",24.1590693408826,0.0241375120694492,0.680000948574761,0.0354962917625923,0.971684003258388,0.99372967451697
"abt-5",13.8991163849926,0.527282089810027,0.784392917778333,0.672216790665918,0.501445693238594,0.855239430134727
"abu-1",0.720605253536785,-0.887098161610678,3.03563343197952,-0.292228354143605,0.770112033862689,NA
"abu-2",3.05501827052397,1.52300720534374,1.61144673880484,0.945117929540324,0.344598672690466,NA
"abu-3",1.14782298847073,-0.907712959785266,2.14162775383932,-0.423842546006419,0.671680647257875,NA
"abu-4",0.771247550600577,-1.74035966926161,3.38475157627988,-0.514176485346204,0.607128606458158,NA
"abu-5",0.524220150079385,-1.57253053144573,4.24958821298731,-0.370043037732425,0.711350423384467,NA
"abu-6",0.180410672539834,0,6.31130625449082,0,1,NA
"abu-7",0.0347948928448057,0,6.3118510749072,0,1,NA
"abu-8",3.91933098506183,-1.29092926560843,1.31465639350147,-0.981951840792523,0.326123574476149,NA
"abu-9",0.0885923272388845,-1.47484335971481,6.28095176220274,-0.234812081918868,0.814354589879641,NA
"abu-10",2.25194717002848,0.729666815928823,1.5834199037466,0.460817003880225,0.644929901227909,NA
"abu-11",1.73687157125119,-0.209611984998702,1.35221546732668,-0.155013746006843,0.876810480552071,NA
"ace-1",39.6756793701831,0.0518276794612836,0.451320372489051,0.114835674657122,0.908575371806241,0.984510093232907
"ace-2",25.8310902038186,0.820243408160661,0.661521943126367,1.239933787055,0.214999885638592,0.663779217067713
"ace-3",17.4615109984493,-0.76680188421774,0.783050397234285,-0.9792497225288,0.327456606009317,0.760069035012916
"ace-4",4.21217823295441,-0.0903820488173026,1.22698593280854,-0.0736618459923337,0.941279458761987,NA
"acn-1",52.2011524037935,-2.05867380230859,0.648268924634286,-3.17564782774366,0.00149502326920847,0.0515944361323239
"aco-1",471.566138399076,-0.736839077332103,0.41008509791931,-1.79679554577983,0.0723680837650587,0.419245503801339
"aco-2",731.893112632229,-0.104062668515675,0.414675965501181,-0.250949360882066,0.801853260693303,0.958584860701839
"acr-2",15.2868359169843,-0.229712196392726,1.10178723675534,-0.208490522243847,0.834845982201545,0.966398691269501
