metabolites,numerator,denominator,p-value,q-value,FC
glycine,CK10,N2,0.6279,0.9004,0.85
N-acetylglycine,CK10,N2,0.1204,0.6366,0.45
sarcosine,CK10,N2,0.9996,0.9311,1.85
dimethylglycine,CK10,N2,0.7136,0.9036,1.51
betaine,CK10,N2,0.5759,0.8911,0.21
betaine aldehyde,CK10,N2,0.9658,0.9311,0.97
serine,CK10,N2,0.7907,0.9036,0.87
N-acetylserine,CK10,N2,0.7193,0.9036,0.59
3-phosphoserine,CK10,N2,0.6764,0.9036,0.61
threonine,CK10,N2,0.6158,0.8996,0.88
N-acetylthreonine,CK10,N2,0.5076,0.8633,0.45
O-acetylhomoserine,CK10,N2,0.1360,0.6598,0.51
homoserine lactone,CK10,N2,0.2480,0.7760,0.40
alanine,CK10,N2,0.8227,0.9045,0.85
N-acetylalanine,CK10,N2,0.2707,0.7766,1.30
aspartate,CK10,N2,0.8607,0.9160,0.60
N-acetylaspartate (NAA),CK10,N2,0.7553,0.9036,0.69
asparagine,CK10,N2,0.5703,0.8872,1.29
N-acetylasparagine,CK10,N2,0.0931,0.6100,0.40
glutamate,CK10,N2,0.6901,0.9036,0.58
glutamine,CK10,N2,0.8155,0.9045,1.12
alpha-ketoglutaramate*,CK10,N2,0.8002,0.9045,0.65
N-acetylglutamate,CK10,N2,0.5109,0.8660,1.40
N-acetylglutamine,CK10,N2,0.2871,0.7903,0.22
4-hydroxyglutamate,CK10,N2,0.3230,0.8297,0.17
"glutamate, gamma-methyl ester",CK10,N2,0.1103,0.6137,3.57
S-1-pyrroline-5-carboxylate,CK10,N2,0.9796,0.9311,1.16
propionylglutamine,CK10,N2,0.0206,0.4312,0.07
histidine,CK10,N2,0.7237,0.9036,0.58
1-methylhistidine,CK10,N2,0.2345,0.7718,0.70
3-methylhistidine,CK10,N2,0.3957,0.8616,0.81
N-acetylhistidine,CK10,N2,0.2245,0.7718,0.53
N-acetyl-3-methylhistidine*,CK10,N2,0.9420,0.9292,1.08
N-acetyl-1-methylhistidine*,CK10,N2,0.4561,0.8633,0.79
trans-urocanate,CK10,N2,0.5138,0.8660,0.53
cis-urocanate,CK10,N2,0.8526,0.9142,0.39
imidazole propionate,CK10,N2,0.0916,0.6100,0.37
formiminoglutamate,CK10,N2,0.8546,0.9150,0.68
imidazole lactate,CK10,N2,0.5453,0.8849,1.00
1-methyl-5-imidazoleacetate,CK10,N2,0.3374,0.8372,0.62
1-ribosyl-imidazoleacetate*,CK10,N2,0.0009,0.1023,0.35
4-imidazoleacetate,CK10,N2,0.5934,0.8934,0.99
N-acetylhistamine,CK10,N2,0.4666,0.8633,0.41
histidine methyl ester,CK10,N2,0.4712,0.8633,0.67
lysine,CK10,N2,0.6474,0.9036,0.47
N2-acetyllysine,CK10,N2,0.4243,0.8633,0.90
N6-acetyllysine,CK10,N2,0.5996,0.8934,0.07
"N2,N6-diacetyllysine",CK10,N2,0.3295,0.8316,0.19
N6-methyllysine,CK10,N2,0.7554,0.9036,0.17
"N6,N6,N6-trimethyllysine",CK10,N2,0.9112,0.9243,0.70
"hydroxy-N6,N6,N6-trimethyllysine*",CK10,N2,0.1833,0.7399,1.52
5-hydroxylysine,CK10,N2,0.9252,0.9266,0.27
fructosyllysine,CK10,N2,0.7451,0.9036,0.99
saccharopine,CK10,N2,0.7228,0.9036,1.20
2-aminoadipate,CK10,N2,0.9858,0.9311,0.50
2-oxoadipate,CK10,N2,0.9667,0.9311,0.96
pipecolate,CK10,N2,0.1954,0.7399,0.14
6-oxopiperidine-2-carboxylate,CK10,N2,0.1188,0.6366,0.24
cadaverine,CK10,N2,0.5988,0.8934,1.31
N-acetyl-cadaverine,CK10,N2,0.0501,0.5375,5.00
5-aminovalerate,CK10,N2,0.7665,0.9036,0.32
"N,N,N-trimethyl-5-aminovalerate",CK10,N2,0.7305,0.9036,2.41
phenylalanine,CK10,N2,0.7687,0.9036,0.57
N-acetylphenylalanine,CK10,N2,0.6212,0.9004,0.32
phenylpyruvate,CK10,N2,0.6715,0.9036,1.17
phenyllactate (PLA),CK10,N2,0.7512,0.9036,0.72
phenethylamine,CK10,N2,0.7711,0.9036,0.92
phenylacetate,CK10,N2,0.3503,0.8372,0.45
2-hydroxyphenylacetate,CK10,N2,0.8579,0.9158,2.07
4-hydroxyphenylacetate,CK10,N2,0.4812,0.8633,1.76
tyrosine,CK10,N2,0.7903,0.9036,0.72
N-acetyltyrosine,CK10,N2,0.9925,0.9311,0.30
tyramine,CK10,N2,0.5154,0.8660,1.37
4-hydroxyphenylpyruvate,CK10,N2,0.7481,0.9036,0.94
homogentisate,CK10,N2,0.8815,0.9163,1.27
3-(4-hydroxyphenyl)lactate,CK10,N2,0.1337,0.6598,0.48
dopamine,CK10,N2,0.5557,0.8852,0.72
o-tyrosine,CK10,N2,0.4855,0.8633,1.50
O-methyltyrosine,CK10,N2,0.0589,0.5396,0.56
gentisate,CK10,N2,0.9175,0.9243,0.72
N-formylphenylalanine,CK10,N2,0.7339,0.9036,0.95
tryptophan,CK10,N2,0.3120,0.8223,0.48
N-acetyltryptophan,CK10,N2,0.9999,0.9311,0.57
C-glycosyltryptophan,CK10,N2,0.0003,0.0472,0.46
oxindolylalanine,CK10,N2,0.7572,0.9036,1.20
N-formylkynurenine,CK10,N2,0.7568,0.9036,0.60
kynurenine,CK10,N2,0.4535,0.8633,0.79
kynurenate,CK10,N2,0.6160,0.8996,0.27
N-formylanthranilic acid,CK10,N2,0.5626,0.8852,1.13
anthranilate,CK10,N2,0.4684,0.8633,0.56
picolinate,CK10,N2,0.2660,0.7760,0.72
N-acetylserotonin,CK10,N2,0.3497,0.8372,0.81
indolelactate,CK10,N2,0.3469,0.8372,0.50
