PARENT_SAMPLE_NAME,AMYLOIDBETA,GROUP_NUMBER,PARAM_BRADFORD_MG/ML,SAMPLE_AMOUNT,STRAIN_CN,TAU,TIME,DOUBLE
BUCK-00083,1,4,11.474,250,3,1,1,1
BUCK-00084,1,4,14.738,250,3,1,1,1
BUCK-00111,1,4,9.213,250,3,1,1,1
BUCK-00085,1,8,25.088,250,3,1,3,1
BUCK-00086,1,8,18.491,250,3,1,3,1
BUCK-00112,1,8,21.942,250,3,1,3,1
BUCK-00087,1,12,12.767,250,3,1,5,1
BUCK-00088,1,12,8.492,300,3,1,5,1
BUCK-00113,1,12,17.784,250,3,1,5,1
BUCK-00089,1,16,12.226,320,3,1,8,1
BUCK-00090,1,16,6.114,500,3,1,8,1
BUCK-00114,1,16,2.427,500,3,1,8,1
BUCK-00079,1,3,18.71,250,1,0,1,0
BUCK-00103,1,3,18.766,250,1,0,1,0
BUCK-00104,1,3,18.896,250,1,0,1,0
BUCK-00080,1,7,27.601,250,1,0,3,0
BUCK-00105,1,7,28.667,250,1,0,3,0
BUCK-00106,1,7,19.983,250,1,0,3,0
BUCK-00081,1,11,23.879,250,1,0,5,0
BUCK-00107,1,11,25.268,250,1,0,5,0
BUCK-00108,1,11,19.408,250,1,0,5,0
BUCK-00082,1,15,5.293,350,1,0,8,0
BUCK-00109,1,15,11.263,500,1,0,8,0
BUCK-00110,1,15,4.747,500,1,0,8,0
BUCK-00071,0,2,30.59,250,2,1,1,0
BUCK-00072,0,2,26.39,250,2,1,1,0
BUCK-00099,0,2,18.033,250,2,1,1,0
BUCK-00073,0,6,34.698,250,2,1,3,0
BUCK-00074,0,6,37.478,250,2,1,3,0
BUCK-00100,0,6,15.963,250,2,1,3,0
BUCK-00075,0,10,25.206,250,2,1,5,0
BUCK-00076,0,10,29.121,250,2,1,5,0
BUCK-00101,0,10,24.41,250,2,1,5,0
BUCK-00077,0,14,1.208,500,2,1,8,0
BUCK-00078,0,14,11.904,380,2,1,8,0
BUCK-00102,0,14,10.429,400,2,1,8,0
BUCK-00067,0,1,24.618,250,0,0,1,0
BUCK-00091,0,1,24.461,250,0,0,1,0
BUCK-00092,0,1,17.893,250,0,0,1,0
BUCK-00068,0,5,21.592,250,0,0,3,0
BUCK-00093,0,5,21.164,250,0,0,3,0
BUCK-00094,0,5,21.205,250,0,0,3,0
BUCK-00069,0,9,16.889,250,0,0,5,0
BUCK-00095,0,9,20.626,250,0,0,5,0
BUCK-00096,0,9,25.973,250,0,0,5,0
BUCK-00070,0,13,5.128,450,0,0,8,0
BUCK-00097,0,13,9.879,500,0,0,8,0
BUCK-00098,0,13,0.976,300,0,0,8,0
