"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000755","Hydroxyphenyllactic acid","HMDB0000755","9378","C03672","C1=CC(=CC=C1CC(C(=O)O)O)O","1"
"HMDB0000134","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"HMDB0031518","D-Malic acid","HMDB0031518","92824","C00497","C([C@H](C(=O)O)O)C(=O)O","1"
"HMDB0002166","(S)-b-aminoisobutyric acid","HMDB0002166","439434","C03284","C[C@@H](CN)C(=O)O","1"
"HMDB0002088","N-Oleoylethanolamine","HMDB0002088","5283454","C20792","CCCCCCCC/C=C\CCCCCCCC(=O)NCCO","1"
"HMDB0004080","Anandamide","HMDB0004080","5281969","C11695","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO","1"
"HMDB0004666","2-Arachidonylglycerol","HMDB0004666","5282280","C13856","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO","1"
"HMDB0000176","Maleic acid","HMDB0000176","444972","C01384","C(=C\C(=O)O)\C(=O)O","1"
"HMDB0011567","MG(18:1(9Z)/0:0/0:0)","HMDB0011567","12178130",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB0011537","MG(0:0/18:1(9Z)/0:0)","HMDB0011537","5319879",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO","1"
"HMDB0011538","MG(0:0/18:2(9Z,12Z)/0:0)","HMDB0011538","5365676",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(CO)CO","1"
"HMDB0011568","MG(18:2(9Z,12Z)/0:0/0:0)","HMDB0011568","6436630",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB11578","MG(20:4(5Z,8Z,11Z,14Z)/0:0/0:0)","HMDB0011578","16019980",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO)O","1"
"HMDB0011569","MG(18:3(6Z,9Z,12Z)/0:0/0:0)","HMDB0011569","53480978",NA,"CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](CO)O","1"
"HMDB0011561","MG(14:0/0:0/0:0)","HMDB0011561","10957631",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB0000912","Succinyladenosine","HMDB0000912","20849086",NA,"C1=NC2=C(C(=N1)N[C@@H](CC(=O)O)C(=O)O)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"HMDB0011577","MG(20:3(8Z,11Z,14Z)/0:0/0:0)","HMDB0011577","53480986",NA,"CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB0001851","L-Arabitol","HMDB0001851","94154","C00532","C([C@@H](C([C@H](CO)O)O)O)O","1"
"HMDB0011565","MG(16:1(9Z)/0:0/0:0)","HMDB0011565","53480976",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB0011534","MG(0:0/16:1(9Z)/0:0)","HMDB0011534","53480960",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO","1"
"HMDB11580","MG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/0:0)","HMDB0011580","53480988",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO)O","1"
"HMDB0011550","MG(0:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","HMDB0011550","11660820",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO","1"
