CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
35,400,42370,166164,Amino Acid,Glutamate Metabolism,62,NAMED,DWAKNKKXGALPNW-UHFFFAOYSA-N,OC(C1CCC=N1)=O,S-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,2906-39-0,10140206,HMDB0001301,C04322,11966181,Pos Early
43,209,2092,123229,Xenobiotics,Benzoate Metabolism,4498,NAMED,YCIMNLLNPGFGHC-UHFFFAOYSA-N,OC(C=CC=C1)=C1O,catechol,catechol,120-80-9,13837760,HMDB0000957,C00090,289,Neg
49,400,1408,155357,Amino Acid,Polyamine Metabolism,537,NAMED,KIDHWZJUCRJVML-UHFFFAOYSA-N,NCCCCN,putrescine,putrescine,110-60-1,13837702,HMDB0001414,C00134,1045,Pos Early
50,400,485,155305,Amino Acid,Polyamine Metabolism,545,NAMED,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,spermidine,spermidine,124-20-9,1071,HMDB0001257,C00315,1102,Pos Early
54,400,1527,155393,Nucleotide,"Purine Metabolism, Adenine containing",4149,NAMED,SATCOUWSAZBIJO-UHFFFAOYSA-N,CN1C=NC2=C(C1=N)N=CN2,1-methyladenine,1-methyladenine,5142-22-3,71157,HMDB0011599,C02216,135398646,Pos Early
62,209,38395,143675,Lipid,"Fatty Acid, Dihydroxy",2031,NAMED,CQSLTKIXAJTQGA-FLIBITNWSA-N,CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O,"12,13-DiHOME","12,13-DiHOME",263399-35-5,8412123,HMDB0004705,C14829,10236635,Neg
72,305,37467,147220,Nucleotide,"Purine Metabolism, Adenine containing",4144,NAMED,KMYWVDDIPVNLME-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C4OP(O)(OC34)=O)CO,"adenosine-2',3'-cyclic monophosphate","adenosine-2',3'-cyclic monophosphate",37063-35-7,1947,HMDB0011616,C02353,2024,Polar
73,305,37465,146984,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4251,NAMED,NMPZCCZXCOMSDQ-UHFFFAOYSA-N,NC1=NC(N(C2OC(C3OP(O)(OC23)=O)CO)C=C1)=O,"cytidine 2',3'-cyclic monophosphate","cytidine 2',3'-cyclic monophosphate",15718-51-1,369711,HMDB0011691,C02354,23421172,Polar
74,305,37139,147604,Nucleotide,"Purine Metabolism, Guanine containing",4181,NAMED,UASRYODFRYWBRC-UHFFFAOYSA-N,NC1=NC2=C(C(N1)=O)N=CN2C3OC(C4OP(O)(OC34)=O)CO,"guanosine-2',3'-cyclic monophosphate","guanosine-2',3'-cyclic monophosphate",15718-49-7,369712,HMDB0011629,C06194,92823,Polar
75,305,37137,145856,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4219,NAMED,HWDMHJDYMFRXOX-UHFFFAOYSA-N,OCC1OC(N2C=CC(NC2=O)=O)C3OP(O)(OC13)=O,"uridine-2',3'-cyclic monophosphate","uridine-2',3'-cyclic monophosphate",40632-52-8,3824355,HMDB0011640,C02355,439715,Polar
92,305,38347,147843,Amino Acid,Lysine Metabolism,125,NAMED,FGSBNBBHOZHUBO-UHFFFAOYSA-N,OC(C(CCCC(O)=O)=O)=O,2-oxoadipate,2-oxoadipate,3184-35-8,70,HMDB0000225,C00322,71,Polar
93,305,528,146398,Energy,TCA Cycle,1446,NAMED,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(C(O)=O)CCC(O)=O,alpha-ketoglutarate,alpha-ketoglutarate,"328-50-7,22202-68-2,305-72-6",50,HMDB0000208,C00026,51,Polar
98,209,1417,124553,Amino Acid,Tryptophan Metabolism,272,NAMED,HCZHHEIFKROPDY-UHFFFAOYSA-N,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,kynurenate,kynurenate,492-27-3,3712,HMDB0000715,C01717,3845,Neg
106,209,39764,141932,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4217,NAMED,FOGRQMPFHUHIGU-XVFCMESISA-N,O=C1C=CN([C@H]2[C@H](O)[C@H](OP(O)(O)=O)[C@@H](CO)O2)C(N1)=O,uridine 3'-monophosphate (3'-UMP),uridine 3'-monophosphate (3'-UMP),"35170-03-7,35170-0-7",91753,HMDB0060282,C01368,101543,Neg
111,305,1549,147711,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",428,NAMED,DBXBTMSZEOQQDU-UHFFFAOYSA-N,CC(C(O)=O)CO,3-hydroxyisobutyrate,3-hydroxyisobutyrate,2068-83-9,10140307,"HMDB0000023,HMDB0000336","C01188,C06001",11966314,Polar
112,305,531,146400,Lipid,Mevalonate Metabolism,3176,NAMED,NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(CC(O)=O)(CC(O)=O)O,3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,503-49-1,4573695,HMDB0000355,C03761,"1662,5459993",Polar
132,209,1414,124549,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1237,NAMED,OSJPPGNTCRNQQC-UHFFFAOYSA-N,OC(C(O)=O)COP(O)(O)=O,3-phosphoglycerate,3-phosphoglycerate,80731-10-8,10669764,HMDB0000807,C00597,724,Neg
133,400,543,155317,Amino Acid,"Glycine, Serine and Threonine Metabolism",15,NAMED,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,NC(C(O)=O)COP(O)(O)=O,3-phosphoserine,3-phosphoserine,407-41-0,19969944,"HMDB0001721,HMDB0000272","C01005,C02532",68841,Pos Early
136,209,22842,124689,Lipid,Primary Bile Acid Metabolism,3454,NAMED,BHQCQFFYRZLCQQ-OLRQUHAPSA-N,O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1,cholate,cholate,81-25-4,,HMDB0000619,C00695,221493,Neg
