PARENT_SAMPLE_NAME,CLIENT_IDENTIFIER,NEG,POLAR,POS EARLY,POS LATE,AMYLOIDBETA,BOX_NUMBER,CLIENT_MATRIX,CLIENT_SAMPLE_NUMBER,GROUP_ID,GROUP_NAME,GROUP_NUMBER,PARAM_BRADFORD_MG/ML,SAMPLE_AMOUNT,SAMPLE_AMOUNT_UNITS,SAMPLE_BOX_LOCATION,SAMPLE_DESCRIPTION,STATISTICAL_COMPARISONS,STRAIN_CN,STRAIN,TAU,TIME
BUCK-00067,4044069635,220977,220981,220973,220969,No_AmyloidBeta,7000301532,whole worm,2,D1_N2, Day 1 N2 (WT),1,24.618,250,uL,A2,Day 1 WT bio rep 2,,Day 1 WT,N2,No_Tau,D1
BUCK-00068,4044049674,220977,220981,220973,220969,No_AmyloidBeta,7000301532,whole worm,5,D3_N2,Day 3 N2 (WT),5,21.592,250,uL,A5,Day 3 WT bio rep 2,Group 5 compared to Group 1,Day 3 WT,N2,No_Tau,D3
BUCK-00069,4044014968,220977,220981,220973,220969,No_AmyloidBeta,7000301531,whole worm,8,D5_N2,Day 5 N2 (WT),9,16.889,250,uL,A2,Day 5 WT bio rep 2,,Day 5 WT,N2,No_Tau,D5
BUCK-00070,4044069075,220977,220981,220973,220969,No_AmyloidBeta,7000301531,whole worm,11,D8_N2,Day 8 N2 (WT),13,5.128,450,uL,A5,Day 8 WT bio rep 2,"Group 13 compared to group 1, 5 and 9",Day 8 WT,N2,No_Tau,D8
BUCK-00071,4044008897,220977,220981,220973,220969,No_AmyloidBeta,7000301532,whole worm,13,D1_CK10,Day 1 CK10  (Tau),2,30.59,250,uL,B1,Day 1 Tau bio rep 1,Group 2 compared to Group 1,Day 1 Tau,CK10,Tau,D1
BUCK-00072,4044051901,220977,220981,220973,220969,No_AmyloidBeta,7000301532,whole worm,15,D1_CK10,Day 1 CK10  (Tau),2,26.39,250,uL,B3,Day 1 Tau bio rep 3,,Day 1 Tau,CK10,Tau,D1
BUCK-00073,4044010069,220977,220981,220973,220969,No_AmyloidBeta,7000301532,whole worm,16,D3_CK10,Day 3 CK10  (Tau),6,34.698,250,uL,B4,Day 3 Tau bio rep 1,Group 6 compared to Group 5,Day 3 Tau,CK10,Tau,D3
BUCK-00074,4044051807,220977,220981,220973,220969,No_AmyloidBeta,7000301532,whole worm,18,D3_CK10,Day 3 CK10  (Tau),6,37.478,250,uL,B6,Day 3 Tau bio rep 3,,Day 3 Tau,CK10,Tau,D3
BUCK-00075,4044069656,220977,220981,220973,220969,No_AmyloidBeta,7000301531,whole worm,19,D5_CK10,Day 5 CK10  (Tau),10,25.206,250,uL,B1,Day 5 Tau bio rep 1,Group 10 compared to Group 9,Day 5 Tau,CK10,Tau,D5
BUCK-00076,4044069078,220977,220981,220973,220969,No_AmyloidBeta,7000301531,whole worm,21,D5_CK10,Day 5 CK10  (Tau),10,29.121,250,uL,B3,Day 5 Tau bio rep 3,Group 10 compared to Group 2 and 6,Day 5 Tau,CK10,Tau,D5
BUCK-00077,4044014925,220977,220981,220973,220969,No_AmyloidBeta,7000301531,whole worm,22,D8_CK10,Day 8 CK10  (Tau),14,1.208,500,uL,B4,Day 8 Tau bio rep 1,Group 14 compared to Group 13,Day 8 Tau,CK10,Tau,D8
BUCK-00078,4044051840,220977,220981,220973,220969,No_AmyloidBeta,7000301531,whole worm,24,D8_CK10,Day 8 CK10  (Tau),14,11.904,380,uL,B6,Day 8 Tau bio rep 3,,Day 8 Tau,CK10,Tau,D8
BUCK-00079,4044068923,220977,220981,220973,220969,AmyloidBeta,7000301532,whole worm,26,D1_CL2355,Day 1 CL2355 (amyloid beta),3,18.71,250,uL,C2,Day 1 Abeta bio rep 2,,Day 1 Abeta,CL2355,No_Tau,D1
BUCK-00080,4044068954,220977,220981,220973,220969,AmyloidBeta,7000301532,whole worm,29,D3_CL2355,Day 3 CL2355 (amyloid beta),7,27.601,250,uL,C5,Day 3 Abeta bio rep 2,Group 7 compared to Group 3,Day 3 Abeta,CL2355,No_Tau,D3
BUCK-00081,4044010023,220977,220981,220973,220969,AmyloidBeta,7000301531,whole worm,32,D5_CL2355,Day 5 CL2355 (amyloid beta),11,23.879,250,uL,C2,Day 5 Abeta bio rep 2,,Day 5 Abeta,CL2355,No_Tau,D5
