metabolite,numerator,denominator,p-value,q-value,FC
glycine,CK10,N2,0.9986,1,1.01
N-acetylglycine,CK10,N2,0.8224,1,0.87
sarcosine,CK10,N2,0.782,1,0.74
dimethylglycine,CK10,N2,0.3905,1,1.06
betaine,CK10,N2,0.9025,1,0.89
betaine aldehyde,CK10,N2,0.3741,1,1.28
serine,CK10,N2,0.0307,1,2.04
N-acetylserine,CK10,N2,0.3584,1,1.42
3-phosphoserine,CK10,N2,0.2597,1,0.49
threonine,CK10,N2,0.9668,1,1
N-acetylthreonine,CK10,N2,0.5998,1,1.14
O-acetylhomoserine,CK10,N2,0.5169,1,1.27
homoserine lactone,CK10,N2,0.2723,1,1.8
alanine,CK10,N2,0.9954,1,0.99
N-acetylalanine,CK10,N2,0.9966,1,0.92
aspartate,CK10,N2,0.2591,1,1.91
N-acetylaspartate (NAA),CK10,N2,0.6204,1,0.8
asparagine,CK10,N2,0.8882,1,0.47
N-acetylasparagine,CK10,N2,0.4243,1,1.36
glutamate,CK10,N2,0.8991,1,1.05
glutamine,CK10,N2,0.4892,1,1.02
alpha-ketoglutaramate*,CK10,N2,0.4229,1,1.04
N-acetylglutamate,CK10,N2,0.7254,1,0.62
N-acetylglutamine,CK10,N2,0.9766,1,0.99
4-hydroxyglutamate,CK10,N2,0.8327,1,0.66
"glutamate, gamma-methyl ester",CK10,N2,0.243,1,0.49
S-1-pyrroline-5-carboxylate,CK10,N2,0.3654,1,1.77
propionylglutamine,CK10,N2,0.8641,1,0.84
histidine,CK10,N2,0.8517,1,0.91
1-methylhistidine,CK10,N2,0.5017,1,0.78
3-methylhistidine,CK10,N2,0.9051,1,0.96
N-acetylhistidine,CK10,N2,0.6736,1,1.21
N-acetyl-3-methylhistidine*,CK10,N2,0.4304,1,1.22
N-acetyl-1-methylhistidine*,CK10,N2,0.9254,1,0.96
trans-urocanate,CK10,N2,0.8372,1,1.1
cis-urocanate,CK10,N2,0.896,1,1.04
imidazole propionate,CK10,N2,0.8585,1,0.87
formiminoglutamate,CK10,N2,0.8071,1,0.87
imidazole lactate,CK10,N2,0.1205,1,0.56
1-methyl-5-imidazoleacetate,CK10,N2,0.9418,1,0.97
1-ribosyl-imidazoleacetate*,CK10,N2,1,1,1
4-imidazoleacetate,CK10,N2,0.5028,1,0.81
N-acetylhistamine,CK10,N2,0.202,1,1.69
histidine methyl ester,CK10,N2,0.2118,1,0.56
